hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[64, 64]",relu,0.001,0.0,0.9,1e-05,64,False,3000,1.244367985437959
"[32, 32]",relu,0.001,0.0,0.9,1e-05,64,True,3000,1.2444384140874458
"[32, 32]",relu,0.03,0.0,0.7,1e-05,64,False,3000,1.2445136938627868
"[64, 64]",relu,0.001,0.0,0.7,1e-05,64,True,3000,1.247107716011377
"[32, 32]",relu,0.003,0.0,0.0,1e-05,64,False,3000,1.2498806565957328
"[64, 64]",relu,0.01,0.0,0.9,1e-05,32,False,3000,1.256904932761869
"[32, 32]",relu,0.001,0.0,0.0,1e-05,32,False,3000,1.259080232709053
"[32, 32]",relu,0.001,0.0,0.0,1e-05,32,True,3000,1.26032888332432
"[32, 32]",relu,0.001,0.0,0.9,1e-05,64,False,3000,1.2716917771497638
"[32, 32]",relu,0.001,0.0,0.7,1e-05,64,False,3000,1.2718117651016438
"[64, 64]",relu,0.001,0.0,0.0,1e-05,64,False,3000,1.2743131002075974
"[32, 32]",relu,0.05,0.0,0.9,1e-05,64,True,3000,1.2745316458339682
"[32, 32]",relu,0.01,0.0,0.7,1e-05,32,True,3000,1.2781097964277883
"[32, 32]",relu,0.001,0.0,0.7,1e-05,64,True,3000,1.2794621442601186
"[64, 64]",relu,0.001,0.0,0.0,1e-05,64,True,3000,1.279718537275896
"[64, 64]",relu,0.03,0.0,0.7,1e-05,64,True,3000,1.2862653222871223
"[64, 64]",relu,0.003,5e-05,0.9,1e-05,32,False,3000,1.2863758217673271
"[64, 64]",relu,0.003,5e-05,0.9,1e-05,64,False,3000,1.287125636603257
"[64, 64]",relu,0.003,5e-05,0.9,1e-05,64,True,3000,1.2879483906638451
"[64, 64]",relu,0.003,5e-05,0.9,1e-05,32,True,3000,1.2898930824493533
"[32, 32]",relu,0.03,0.0,0.9,1e-05,64,False,3000,1.2901675600414253
"[32, 32]",relu,0.003,5e-05,0.9,1e-05,32,True,3000,1.2948831978225046
"[32, 32]",relu,0.03,0.0,0.9,1e-05,64,True,3000,1.2959932571487158
"[64, 64]",relu,0.003,5e-05,0.7,1e-05,64,True,3000,1.2961632229541913
"[64, 64]",relu,0.003,5e-05,0.7,1e-05,64,False,3000,1.2964692817551169
"[64, 64]",relu,0.003,5e-05,0.7,1e-05,32,False,3000,1.297116437568542
"[64, 64]",relu,0.01,0.0001,0.0,1e-05,64,False,3000,1.2975025052970144
"[64, 64]",relu,0.01,0.0001,0.0,1e-05,32,False,3000,1.2983861548547
"[32, 32]",relu,0.003,5e-05,0.9,1e-05,64,False,3000,1.3002592134512214
"[32, 32]",relu,0.003,5e-05,0.9,1e-05,32,False,3000,1.3018998681065317
"[64, 64]",relu,0.003,5e-05,0.7,1e-05,32,True,3000,1.3021937398559376
"[32, 32]",relu,0.003,5e-05,0.9,1e-05,64,True,3000,1.302731029733979
"[32, 32]",relu,0.003,5e-05,0.7,1e-05,32,True,3000,1.3029991962086118
"[32, 32]",relu,0.01,0.0001,0.0,1e-05,32,True,3000,1.3031462192896863
"[32, 32]",relu,0.01,0.0001,0.0,1e-05,32,False,3000,1.3033345157828546
"[64, 64]",relu,0.01,0.0001,0.0,1e-05,64,True,3000,1.3039159443311172
"[32, 32]",relu,0.001,0.0,0.0,1e-05,64,True,3000,1.3044130815103336
"[32, 32]",relu,0.003,5e-05,0.7,1e-05,32,False,3000,1.305483167026508
"[64, 64]",relu,0.01,0.0001,0.0,1e-05,32,True,3000,1.3057708733630815
"[32, 32]",relu,0.003,5e-05,0.7,1e-05,64,False,3000,1.3058830029426405
